,developer,name,platforms,publisher,release,reviewed,score
714,Ubisoft Montreal,Far Cry 3,"360, PS3, Win",Ubisoft,2012-12-04,2012-11-21,9
715,DreamRift,Epic Mickey: Power of Illusion,3DS,Disney Interactive,2012-11-18,2012-11-19,6
716,Telltale Games,The Walking Dead: Episode 5,"Mac, PSN, Win, XBLA, iOS",Telltale Games,2012-11-20,2012-11-20,9
717,IO Interactive,Hitman: Absolution,"360, PS3, Win",Square Enix,2012-11-20,2012-11-18,8.5
718,Ubisoft Montpellier,ZombiU,Wii U,Ubisoft,2012-11-18,2012-11-18,8
719,Yuke's,WWE '13,"360, PS3, Wii",THQ,2012-10-30,2012-11-16,8
720,Nintendo,New Super Mario Bros. U,Wii U,Nintendo,2012-11-18,2012-11-15,8.5
721,Nintendo Entertainment Analysis and Development,Nintendo Land,Wii U,Nintendo,2012-11-18,2012-11-15,8
722,Treyarch,Call of Duty: Black Ops 2,"360, PS3, Wii U, Win",Activision,2012-11-13,2012-11-13,8
723,Cauldron,Cabela's Dangerous Hunts 2013,"360, PS3, Wii, Wii U, Win",Activision,2012-10-23,2012-11-12,6.5
724,Rovio Entertainment,Angry Birds Star Wars,"360, 3DS, Android, Facebook, Mac, PS Vita, PS3, PS4, Wii, Wii U, Win, Xbox One, iOS",Rovio Entertainment,2012-11-08,2012-11-08,8.5
725,Intelligent Systems,Paper Mario: Sticker Star,3DS,Nintendo,2012-11-11,2012-11-06,7.5
726,Criterion Games,Need for Speed Most Wanted (2012),"360, Android, PS Vita, PS3, Wii U, Win, iOS",Electronic Arts,2012-10-30,2012-10-30,8.5
727,343 Industries,Halo 4,360,Microsoft Game Studios,2012-11-06,2012-11-01,9.5
728,Ubisoft Sofia,Assassin's Creed 3: Liberation,"360, PS Vita, PS3, Win",Ubisoft,2012-10-30,2012-10-31,6
729,Ubisoft Montreal,Assassin's Creed 3,"360, PS3, Wii U, Win",Ubisoft,2012-10-30,2012-10-30,8
730,Toys for Bob,Skylanders Giants,"360, 3DS, PS3, Wii, Wii U",Activision,2012-10-21,2012-10-26,8
731,Danger Close,Medal of Honor Warfighter,"360, PS3, Win",Electronic Arts,2012-10-23,2012-10-24,4.5
732,Eurocom,007 Legends,"360, PS3, Wii U, Win",Activision,2012-10-16,2012-10-25,4
733,CD Projekt Red,The Witcher 2: Assassins of Kings (Enhanced Edition),360,Atari Interactive,2011-05-17,2012-10-24,7
734,Ubisoft Paris,Tom Clancy's Ghost Recon: Future Soldier,"360, PS3, Win",Ubisoft,2012-05-22,2012-10-24,7
735,LightBox Interactive,Starhawk,PS3,Sony Computer Entertainment,2012-05-08,2012-10-24,6.5
736,AQ Interactive,New Little King's Story,PS Vita,Konami Digital Entertainment,2012-10-02,2012-10-24,6.5
