,date,game,platform,score
348,2017-05-18,Reservoir Dogs: Bloody Days,"PC,PS4,Xbox One",2
349,2017-05-18,Endless Space 2,"Mac OS,PC",8.5
350,2017-05-18,Mages of Mystralia,"PC,PS4,Xbox One",7
351,2017-05-16,Seasons after Fall,"PC,PS4,Xbox One",4
352,2017-05-16,The Surge,"PC,PS4,Xbox One",6.5
353,2017-05-16,Deemo: The Last Recital,PSVita,6.5
354,2017-05-16,Fire Emblem Echoes: Shadows of Valentia,3DS,7.5
355,2017-05-16,Akiba's Beat,"PS4,PSVita",3.5
356,2017-05-15,Farpoint,PS4,7
357,2017-05-15,Prey,"PC,PS4,Xbox 360,Xbox One",8
358,2017-05-15,The Caligula Effect,PSVita,4
359,2017-05-15,Spark the Electric Jester,PC,8.5
360,2017-05-13,Lethal League,"Mac OS,PC,PS4,Xbox One",9
361,2017-05-13,LocoRoco Remastered,PS4,8
362,2017-05-11,Gundam Breaker 3,"PS4,PSVita",8.5
363,2017-05-10,NieR: Automata,"PC,PS4,Switch",9
364,2017-05-10,NieR: Automata - 3C3C1D119440927,PS4,8
365,2017-05-09,Sniper: Ghost Warrior 3,"PC,PS4,Xbox One",3
366,2017-05-09,Strafe,"Mac OS,PC,PS4",8.5
367,2017-05-09,NBA Playgrounds,"PC,PS4,Switch,Xbox One",7.5
368,2017-05-06,Alien: Covenant,"Film or TV,PC",3.5
369,2017-05-05,Birthdays the Beginning,"PC,PS4,Switch",8
370,2017-05-03,de Blob,"DS,iPad,iPhone,PC,PS4,Wii,Xbox One",8
371,2017-05-03,Statik,PS4,8.5
372,2017-05-03,World to the West,"PC,PS4,Wii-U,Xbox One",7
373,2017-05-02,Nioh: Dragon of the North,PS4,8
374,2017-05-02,TumbleSeed,"Mac OS,PC,PS4,Switch",8
375,2017-05-02,Super Rude Bear Resurrection,"PC,PS4,PSVita,Xbox One",9
376,2017-05-01,GNOG,"iPhone,Mac OS,PC,PS3,PS4,PSVita",8
377,2017-04-30,Die With Glory,Android,7
378,2017-04-28,Kamiko,Switch,8
379,2017-04-26,The Walking Dead: A New Frontier: Thicker than Water,"PC,PS4,Xbox One",5.5
380,2017-04-26,Scanner Sombre,PC,6.5
381,2017-04-25,Wilson's Heart,PC,9
382,2017-04-24,Dragon Quest Heroes Ii,"PC,PS3,PS4,PSVita,Switch",7.5
383,2017-04-24,Outlast 2,"Mac OS,PC,PS4,Switch,Xbox One",8
