,developer,genres,name,platforms,publisher,release_date,review_date,score,user_score
1212,Piranha Bytes,Role-Playing,Risen,"PC,Xbox 360",Deep Silver,"Oct 2, 2009","Mar 2, 2010 ",6.0,7.8
1213,Ubisoft Montreal,"Action, Adventure",Assassin's Creed II,"Macintosh,PC,PlayStation 3,Xbox 360","Ubisoft, Focus Multimedia, E-Frontier","Nov 17, 2009","Mar 2, 2010 ",7.0,9.0
1214,Creative Assembly,"Real-Time, Strategy",Napoleon: Total War,"Macintosh,PC","Sega, Feral Interactive, E-Frontier, Avanquest Software","Feb 23, 2010","Mar 1, 2010 ",8.5,8.2
1215,"Konami, Infinite Interactive","Action, Puzzle",Puzzle Chronicles,"DS,PC,PlayStation 3,PSP,Xbox 360",Konami,"Jan 28, 2010","Mar 1, 2010 ",5.0,6.8
1216,"Tecmo, Pieces Interactive",Music/Rhythm,Fret Nice,"PlayStation 3,Xbox 360","Koei Tecmo Games, Tecmo","Feb 4, 2010","Mar 1, 2010 ",5.0,5.3
1217,Gas Powered Games,"Real-Time, Strategy",Supreme Commander 2,"Macintosh,PC,Xbox 360","Virtual Programming, Square Enix, Mastertronic","Mar 1, 2010","Mar 1, 2010 ",8.0,6.8
1218,"Sega, Sumo Digital","Arcade, Driving/Racing",Sonic & Sega All-Stars Racing,"Android,Arcade Games,DS,iOS (iPhone/iPad),Macintosh,PC,PlayStation 3,Wii,Xbox 360","Sega, Feral Interactive, Avanquest Software","Feb 23, 2010","Feb 26, 2010",8.0,8.1
1219,"Magic Rings, SoMoGa, Inc., Game Arts, Studio Alex",Role-Playing,Lunar: The Silver Star,"Game Boy Advance,iOS (iPhone/iPad),PlayStation,PSP,Saturn,Sega CD","Media Rings, Ubisoft, SoMoGa, Inc., Working Designs, Kadokawa Shoten, Xseed Games, GungHo, Game Arts",December 1993,"Feb 26, 2010",8.0,8.6
1220,"THQ, Big Ant Studios","Driving/Racing, Arcade",World of Outlaws: Sprint Cars,"PlayStation 3,Xbox 360",THQ,"Feb 9, 2010","Feb 26, 2010",6.0,7.5
1221,Gearbox Software,"3D, Action, First-Person, Shooter",Borderlands,"PC,PlayStation 3,Xbox 360","2K Games, Take-Two Interactive, CyberFront","Oct 20, 2009","Feb 25, 2010",9.0,8.4
1222,"Tri-Ace, Square Enix","Action, Role-Playing",Star Ocean: The Last Hope,"PC,PlayStation 3,PlayStation 4,Xbox 360",Square Enix,"Feb 23, 2009","Feb 25, 2010",7.5,8.2
1223,Haemimont Games,"Strategy, Management",Tropico 3,"Macintosh,PC,Xbox 360","Feral Interactive, Kalypso, Zoo Corporation, Russel","Oct 20, 2009","Feb 24, 2010",6.5,7.8
1224,"Sega, Sumo Digital","Driving/Racing, Arcade",Sonic & Sega All-Stars Racing,"Android,Arcade Games,DS,iOS (iPhone/iPad),Macintosh,PC,PlayStation 3,Wii,Xbox 360","Sega, Feral Interactive, Avanquest Software","Feb 23, 2010","Feb 23, 2010",8.0,8.1
1225,"Sega, Sumo Digital","Arcade, Driving/Racing",Sonic & Sega All-Stars Racing,"Android,Arcade Games,DS,iOS (iPhone/iPad),Macintosh,PC,PlayStation 3,Wii,Xbox 360","Sega, Feral Interactive, Avanquest Software","Feb 23, 2010","Feb 23, 2010",8.0,8.1
1226,"Sega, Sumo Digital","Arcade, Driving/Racing",Sonic & Sega All-Stars Racing,"Android,Arcade Games,DS,iOS (iPhone/iPad),Macintosh,PC,PlayStation 3,Wii,Xbox 360","Sega, Feral Interactive, Avanquest Software","Feb 23, 2010","Feb 23, 2010",8.0,8.1
1227,"Universomo, n-Space, Krome Studios, LucasArts","Shooter, Third-Person, 3D, Action",Star Wars: The Force Unleashed,"BlackBerry,DS,iOS (iPhone/iPad),PlayStation 2,PlayStation 3,PSP,Wii,Xbox 360","THQ Wireless, LucasArts, Activision, Disney Interactive Studios","Sep 15, 2008","Feb 23, 2010",4.5,8.0
1228,"Quantic Dream, Virtuos","3D, Third-Person, Adventure",Heavy Rain,"PlayStation 3,PlayStation 4","SCEA, SCEI, SCE Australia, SCEE, Sony Interactive Entertainment","Feb 23, 2010","Feb 19, 2010",8.5,8.8
1229,Airtight Games,Action,Dark Void,"PC,PlayStation 3,Xbox 360",Capcom,"Jan 19, 2010","Feb 18, 2010",7.0,6.4
1230,Airtight Games,Action,Dark Void,"PC,PlayStation 3,Xbox 360",Capcom,"Jan 19, 2010","Feb 18, 2010",7.0,6.4
1231,Rebellion,"3D, Action, First-Person, Shooter",Aliens vs. Predator,"PC,PlayStation 3,Xbox 360","Sega, Avanquest Software","Feb 16, 2010","Feb 18, 2010",5.5,7.3
1232,Arika,"Adventure, 3D, Third-Person",Endless Ocean: Blue World,Wii,Nintendo,"Feb 22, 2010","Feb 18, 2010",8.0,8.3
1233,The Odd Gentlemen,Puzzle,The Misadventures of P.B. Winterbottom,"PC,Xbox 360","2K Games, 2K Play","Feb 17, 2010","Feb 18, 2010",7.5,7.9
1234,Sega,Action,Super Monkey Ball: Step & Roll,Wii,Sega,"Feb 9, 2010","Feb 18, 2010",5.5,5.9
1235,Introversion,"Real-Time, Strategy",Darwinia+,"Linux,Macintosh,PC,Xbox 360","Introversion, Ambrosia, Cinemaware","Mar 18, 2005","Feb 17, 2010",8.0,8.2
1236,Cryptic Studios,"MMO, Role-Playing",Star Trek Online,"Macintosh,PC,PlayStation 4,Xbox One","Perfect World Entertainment, Namco Bandai Games, Atari SA","Feb 2, 2010","Feb 17, 2010",5.5,6.7
1237,Capcom,Adventure,Ace Attorney Investigations: Miles Edgeworth,"Android,DS,iOS (iPhone/iPad)",Capcom,"Feb 16, 2010","Feb 16, 2010",8.0,8.5
1238,ChunSoft,"Role-Playing, Roguelike",Shiren the Wanderer,"PSP,Wii","Spike Chunsoft, Spike, ATLUS, Sega","Feb 9, 2010","Feb 16, 2010",6.0,6.7
1239,Ubisoft Montreal,"Action, Adventure",Assassin's Creed II,"Macintosh,PC,PlayStation 3,Xbox 360","Ubisoft, Focus Multimedia, E-Frontier","Nov 17, 2009","Feb 16, 2010",5.5,9.0
1240,Rebellion,"First-Person, Shooter, 3D, Action",Aliens vs. Predator,"PC,PlayStation 3,Xbox 360","Sega, Avanquest Software","Feb 16, 2010","Feb 15, 2010",5.5,7.3
1241,Rebellion,"Action, First-Person, Shooter, 3D",Aliens vs. Predator,"PC,PlayStation 3,Xbox 360","Sega, Avanquest Software","Feb 16, 2010","Feb 15, 2010",5.5,7.3
1242,EA Mobile,Trivia/Board Game,Connect 4 (1999),Palm webOS,EA Mobile,June 2009,"Feb 12, 2010",5.5,
1243,EA Mobile,Trivia/Board Game,Boggle (1999),Palm webOS,EA Mobile,November 2009,"Feb 12, 2010",8.0,
1244,EA Mobile,Trivia/Board Game,Scrabble (2008),"iOS (iPhone/iPad),Windows Mobile","EA Mobile, Electronic Arts","Jul 9, 2008","Feb 12, 2010",7.0,6.4
1245,THQ Wireless,"Hidden Object, Puzzle",Indiana Jones and the Lost Puzzles,"BlackBerry,iOS (iPhone/iPad),Windows Mobile",THQ Wireless,"Aug 13, 2009","Feb 12, 2010",7.0,7.3
1246,ngmoco,Modern,Eliminate,iOS (iPhone/iPad),"3D, Action, First-Person, Shooter","Oct 30, 2009","Feb 12, 2010",9.0,7.4
1247,Gameloft,"Action, Role-Playing",Dungeon Hunter,"Android,iOS (iPhone/iPad)",Gameloft,"Sep 14, 2009","Feb 12, 2010",9.0,8.0
1248,"Electronic Arts, Westwood Studios","Real-Time, Strategy",Command & Conquer: Red Alert,"BlackBerry,iOS (iPhone/iPad),PC,PlayStation","Electronic Arts, Virgin Interactive, Westwood Studios, Sold Out Software","Oct 31, 1996","Feb 12, 2010",8.0,8.7
1249,Ideaworks3D,"3D, Action, First-Person, Shooter",Call of Duty: World at War - Zombies,iOS (iPhone/iPad),"Vivendi Universal Games Mobile, Activision","Nov 16, 2009","Feb 12, 2010",8.0,8.0
1250,Revolution Software,Adventure,Beneath a Steel Sky,"Amiga,Amiga CD32,iOS (iPhone/iPad),Linux,Macintosh,PC","Virgin Interactive, Revolution Software",1994,"Feb 12, 2010",9.0,8.3
1251,"Electronic Arts, Electronic Arts Nederland BV, EA Mobile","Driving/Racing, Simulation",Need for Speed Shift,"Android,BlackBerry,iOS (iPhone/iPad),Windows Mobile","Electronic Arts, Electronic Arts Nederland BV, EA Mobile","Oct 28, 2009","Feb 12, 2010",7.0,7.9
